28326,84809,33543,16981,9508,18351,9563,18473,33766,16981,4574,28802
96111,51958,35163,15162,758,17026,627,17593,714,17363,1950,15232
48414,42788,15528,14032,19710,14032,1475,15908,561,15546,677,15345
21679,30809,50860,15086,934,41459,1117,25916,1446,19043,3151,15086
34428,77226,29754,10695,1532,14257,957,13000,770,12633,1856,11859
49734,56234,17160,15401,28259,15401,1739,15674,1259,16704,704,16071
79024,14061,60897,16351,61094,16351,61094,16351,61094,16351,3604,16923
16990,80406,41305,12496,1456,19789,1643,18969,1367,14221,2834,12606
58803,71983,66207,20931,118048,20931,50711,24071,53759,25769,1715,20931
23273,7440,31140,12479,26088,17207,1448,15909,1650,15672,19706,16932
44914,58278,50515,14394,55511,14394,4382,18947,1340,17375,3114,16137
53254,51031,51899,16784,25823,33077,25843,31944,22381,33738,24598,29240
40022,91912,31417,17048,32247,17048,1405,21869,1071,20431,2298,19656
47799,91258,48245,14607,2323,19649,2431,18626,2488,17681,3099,14963
45830,84438,66538,23114,72706,23114,5071,36273,2349,25433,66565,23114
57454,7459,35694,12402,27540,37336,2080,24194,2293,24544,4789,22602
64669,7450,40047,15888,32915,25172,3819,23072,2018,19523,20951,22682
10622,41552,8355,9910,8964,9910,5657,20321,390,10498,693,11358
69417,56230,40960,12363,7654,31286,876,15639,944,15074,2373,12437
8417,18145,76502,19609,2948,31499,2122,26373,2532,24631,4140,19678
